Distance (m),Elevation (m)
121352.8701,7.247310638
121597.0408,5.122531414
121841.2116,8.179326057
122085.3824,4.896214485
122329.5531,4.579978943
122573.7239,4.820559502
122817.8947,3.654430389
123062.0654,2.748078585
123306.2362,6.152907848
123550.4069,9.304844856
123794.5777,7.438309193
124038.7485,9.125152588
124282.9192,8.61733532
124527.09,8.646875381
124771.2608,8.254611015
